Date,Currency_Code,Impact,Actual,Previous
2018-01-29T07:00:00.000Z,EUR,low,1,0
2018-01-29T07:00:00.000Z,EUR,low,1,0
2018-01-29T13:30:00.000Z,USD,med,0,1
2018-01-29T13:30:00.000Z,USD,med,0,0
2018-01-29T13:30:00.000Z,USD,med,1,0
2018-01-29T16:00:00.000Z,EUR,,0,0
2018-01-29T20:30:00.000Z,USD,med,0,0
2018-01-29T21:45:00.000Z,NZD,med,1,0
2018-01-29T23:30:00.000Z,JPY,med,-1,0
2018-01-29T23:30:00.000Z,JPY,low,-1,0
2018-01-29T23:50:00.000Z,JPY,med,1,-1
2018-01-29T23:50:00.000Z,JPY,med,1,-1
2018-01-30T00:30:00.000Z,AUD,med,0,0
2018-01-30T07:45:00.000Z,EUR,med,0,-1
2018-01-30T07:45:00.000Z,EUR,low,1,0
2018-01-30T07:45:00.000Z,EUR,low,-1,1
2018-01-30T08:00:00.000Z,CHF,med,-1,1
2018-01-30T09:30:00.000Z,GBP,low,0,1
2018-01-30T09:30:00.000Z,GBP,med,1,1
2018-01-30T09:30:00.000Z,GBP,med,1,1
2018-01-30T09:30:00.000Z,GBP,med,-1,-1
2018-01-30T10:00:00.000Z,EUR,med,-1,-1
2018-01-30T10:00:00.000Z,EUR,med,-1,-1
2018-01-30T10:00:00.000Z,EUR,med,-1,-1
2018-01-30T10:00:00.000Z,EUR,high,1,0
2018-01-30T10:00:00.000Z,EUR,high,1,0
2018-01-30T10:00:00.000Z,EUR,med,0,1
2018-01-30T13:00:00.000Z,EUR,med,-1,0
2018-01-30T13:00:00.000Z,EUR,low,-1,0
2018-01-30T13:00:00.000Z,EUR,low,-1,0
2018-01-30T13:00:00.000Z,EUR,med,-1,0
2018-01-30T14:00:00.000Z,USD,med,1,-1
2018-01-30T15:00:00.000Z,USD,high,1,1
2018-01-30T15:30:00.000Z,GBP,med,0,0
2018-01-30T15:30:00.000Z,GBP,,0,0
2018-01-30T16:30:00.000Z,EUR,high,0,0
2018-01-30T21:30:00.000Z,NZD,,0,0
2018-01-30T23:50:00.000Z,JPY,med,1,0
2018-01-30T23:50:00.000Z,JPY,med,1,0
2018-01-30T23:50:00.000Z,JPY,high,0,0
2018-01-31T00:01:00.000Z,GBP,low,1,0
2018-01-31T00:01:00.000Z,GBP,med,-1,0
2018-01-31T00:30:00.000Z,AUD,low,-1,-1
2018-01-31T00:30:00.000Z,AUD,high,-1,0
2018-01-31T00:30:00.000Z,AUD,med,-1,0
2018-01-31T01:00:00.000Z,CNY,high,-1,0
2018-01-31T01:30:00.000Z,JPY,,0,0
2018-01-31T02:00:00.000Z,USD,,0,0
2018-01-31T05:00:00.000Z,JPY,low,0,0
2018-01-31T05:00:00.000Z,JPY,med,-1,0
2018-01-31T05:00:00.000Z,JPY,med,0,0
2018-01-31T05:00:00.000Z,JPY,low,-1,0
2018-01-31T07:00:00.000Z,EUR,med,-1,-1
2018-01-31T07:00:00.000Z,EUR,med,-1,-1
2018-01-31T07:00:00.000Z,CHF,med,0,1
2018-01-31T07:45:00.000Z,EUR,low,0,1
2018-01-31T07:45:00.000Z,EUR,low,0,1
2018-01-31T07:45:00.000Z,EUR,low,1,0
2018-01-31T07:45:00.000Z,EUR,low,1,0
2018-01-31T07:45:00.000Z,EUR,low,1,0
2018-01-31T07:45:00.000Z,EUR,low,1,0
2018-01-31T08:55:00.000Z,EUR,med,0,0
2018-01-31T08:55:00.000Z,EUR,med,-1,-1
2018-01-31T08:55:00.000Z,EUR,,0,0
2018-01-31T09:50:00.000Z,EUR,,0,0
2018-01-31T10:00:00.000Z,EUR,med,0,0
2018-01-31T10:00:00.000Z,EUR,med,0,0
2018-01-31T13:15:00.000Z,USD,high,1,-1
2018-01-31T13:30:00.000Z,CAD,low,1,0
2018-01-31T13:30:00.000Z,CAD,low,1,-1
2018-01-31T13:30:00.000Z,CAD,high,0,0
2018-01-31T13:30:00.000Z,USD,high,0,0
2018-01-31T14:45:00.000Z,USD,med,1,1
2018-01-31T15:00:00.000Z,USD,med,0,1
2018-01-31T19:00:00.000Z,USD,high,0,0
2018-01-31T19:00:00.000Z,USD,,0,0
